City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Beibei,CN,29.8256,106.4339,66.2,82,90,6.71,moderate rain
323,Lugovoy,KZ,42.9472,72.7644,34.81,90,100,4.63,light snow
324,Vilhena,BR,-12.7406,-60.1458,75.2,88,75,12.66,heavy intensity rain
325,Cayeli,TR,41.0923,40.7292,48.33,77,100,0.6,overcast clouds
326,Muravlenko,RU,63.7898,74.523,14.79,94,100,17.11,light snow
327,Buraydah,SA,26.326,43.975,84.2,28,83,5.75,broken clouds
328,Areosa,PT,41.7178,-8.8571,75.99,38,0,5.44,clear sky
329,Sobolevo,RU,54.4299,31.8996,46.83,88,25,8.12,scattered clouds
330,Tambura,SS,5.6,27.4667,83.71,39,96,0.25,overcast clouds
331,Tekirdag,TR,40.978,27.5085,39.2,87,75,10.36,broken clouds
332,Tromso,NO,69.6496,18.957,37.4,70,75,6.91,broken clouds
333,Tshela,CD,-4.9833,12.9333,72.14,99,100,0.76,moderate rain
334,Taloda,IN,21.5667,74.2167,82.26,48,3,13.67,clear sky
335,Pombas,CV,17.1503,-25.0201,73.4,60,75,26.46,broken clouds
336,Oktyabrskoye,RU,43.0645,44.7417,42.8,81,66,8.95,broken clouds
337,Springbok,ZA,-29.6643,17.8865,63.93,53,2,4.92,clear sky
338,Trois-Rivieres,CA,46.3501,-72.5491,57.2,58,100,8.05,overcast clouds
339,La Macarena,CO,2.1837,-73.7849,72.9,97,100,2.06,light rain
340,Custoias,PT,41.1053,-7.321,62.6,47,100,4.38,overcast clouds
341,Bandarbeyla,SO,9.4942,50.8122,78.33,66,1,5.32,clear sky
342,Najran,SA,17.4924,44.1277,77.0,20,0,3.56,clear sky
343,Egvekinot,RU,66.3167,-179.1667,-11.06,92,66,5.01,broken clouds
